Date,Open,High,Low,Close,Volume
2015-10-27,38.5032,38.7462,38.2435,38.5615,7109712.3274111
2015-10-28,38.5032,39.2232,38.5032,39.1441,8814648.9533282
2015-10-29,38.9536,39.3091,38.9278,39.2232,6188986.562004
2015-10-30,39.2054,39.6033,39.1599,39.2735,7407509.7285458
2015-11-02,39.3357,39.708,39.2418,39.5174,13086495.950882
2015-11-03,39.4118,39.9756,39.3851,39.6725,8766727.8816341
2015-11-04,39.6033,39.8818,39.395,39.4118,7887330.0407271
2015-11-05,39.3614,39.3614,38.9012,39.2132,11857663.333937
2015-11-06,38.8933,39.3772,38.8311,39.3179,5305044.0974438
2015-11-09,39.1343,39.3091,38.7027,39.0503,6205121.5961594
2015-11-10,38.9101,39.0325,38.5289,38.763,5654494.0627329
2015-11-11,38.8479,38.9278,38.5615,38.8044,7239648.2617482
2015-11-12,38.4065,38.4578,38.0252,38.0252,10401873.953451
2015-11-13,37.9976,38.7106,37.9383,38.5121,8165321.6722467
2015-11-16,38.5891,39.0325,38.4499,39.0049,8913684.8897204
2015-11-17,39.074,39.3525,38.8567,38.9614,14700995.78124
2015-11-18,39.1006,39.6892,38.995,39.6557,9085241.3947778
2015-11-19,39.5608,39.8364,39.5431,39.6132,6102406.8233741
2015-11-20,39.708,39.8897,39.395,39.4927,4300042.2963504
2015-11-23,39.551,39.8443,39.4839,39.5431,4413491.8185446
2015-11-24,39.233,39.9756,39.233,39.872,7209553.2940628
2015-11-25,39.872,39.9441,39.5688,39.6221,4794878.7012574
2015-11-27,39.5688,39.6468,39.3851,39.5688,1465013.3058096
2015-11-30,39.6725,39.8443,39.5253,39.6656,7564651.6351847
2015-12-01,39.6892,39.9529,39.551,39.9441,8897123.5439432
2015-12-02,39.8216,39.9183,39.2735,39.4038,9230144.8162402
2015-12-03,39.5955,39.6656,38.8479,39.0582,6720117.1739023
2015-12-04,39.1441,39.8443,39.0237,39.7426,6465228.3919031
2015-12-07,39.5253,39.7179,38.7818,39.0325,7105446.1733446
2015-12-08,38.6228,38.9536,38.2435,38.2909,8561802.6191695
2015-12-09,39.2824,39.9529,39.0424,39.4473,14943455.706128
2015-12-10,39.2054,39.5253,38.8933,39.1531,6093988.9409257
2015-12-11,38.1358,38.5713,38.0608,38.1111,11003695.335676
2015-12-14,37.9137,38.042,37.2678,37.6095,10243999.924953
2015-12-15,37.9887,38.2168,37.7369,37.8189,5818787.0683553
2015-12-16,38.0164,38.2435,37.4969,38.2089,9299912.0801565
